"section","batch_id","table_name","source_id","expected_rows","actual_rows","schema_matches","row_count_matches","status"
"bronze_ingestion_audit","20260818T164122Z","complaints","nhtsa_complaints_2025_2026",182995,182995,1,"true","PASS"
"bronze_ingestion_audit","20260818T164122Z","recalls","nhtsa_recalls_post_2010",244398,244398,1,"true","PASS"
"bronze_ingestion_audit","20260818T164122Z","investigations","nhtsa_investigations_all",154249,154249,1,"true","PASS"
"bronze_ingestion_audit","20260818T164122Z","manufacturer_communications","nhtsa_tsbs_2025_2026",731898,731898,1,"true","PASS"
"bronze_ingestion_audit","20260818T164122Z","ncap_ratings","nhtsa_ncap_ratings",17313,17313,1,"true","PASS"
"bronze_ingestion_audit","20260818T164122Z","fuel_economy","epa_fuel_economy_vehicles",50242,50242,1,"true","PASS"
"bronze_ingestion_audit","20260818T164122Z","state_registrations","fhwa_state_registrations",30688,30688,1,"true","PASS"
"entity_match_quality","EPA_FUEL_ECONOMY","","26359",26359,26359,26359,"",""
"entity_match_quality","NHTSA_COMPLAINT","","6923",4490,6923,4490,"",""
"entity_match_quality","NHTSA_INVESTIGATION","","16109",4980,14844,4980,"",""
"entity_match_quality","NHTSA_MANUFACTURER_COMMUNICATION","","19472",6473,19472,6473,"",""
"entity_match_quality","NHTSA_NCAP","","12282",12282,12282,12282,"",""
"entity_match_quality","NHTSA_RECALL","","39957",6182,39956,6182,"",""
